property_name	parent_property	path	type	description	enum	pattern	required	recommended	source	condition
ebp_perc_assembled_benchmark	ebp_statistics	analysis.ebp_statistics.ebp_perc_assembled_benchmark	number	Percentage assigned to chromosomes required by the selected EBP reference standard.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
ebp_qv_benchmark	ebp_statistics	analysis.ebp_statistics.ebp_qv_benchmark	number	QV required by the selected EBP reference standard.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
GAP_analysis_data	analysis	analysis.GAP_analysis_data					No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
sequence_composition	GAP_analysis_data	analysis.GAP_analysis_data.sequence_composition	array	K-mer based sequence composition track of each asssembly role			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
worfklow	sequence_composition	analysis.GAP_analysis_data.sequence_composition.worfklow	id				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
accession	sequence_composition	analysis.GAP_analysis_data.sequence_composition.accession	string				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
file_path	sequence_composition	analysis.GAP_analysis_data.sequence_composition.file_path	string				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
weblink	sequence_composition	analysis.GAP_analysis_data.sequence_composition.weblink	string				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
blobtoolkit	GAP_analysis_data	analysis.GAP_analysis_data.blobtoolkit	object				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
snail_plot	blobtoolkit	analysis.GAP_analysis_data.blobtoolkit.snail_plot	string	Publication figure asset for the BlobToolKit snail plot, usually generated for hap1 or the primary assembly.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
blob_plot	blobtoolkit	analysis.GAP_analysis_data.blobtoolkit.blob_plot	string	Publication figure asset for the BlobToolKit blob plot, usually generated for hap1 or the primary assembly.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
snail_plot_url	blobtoolkit	analysis.GAP_analysis_data.blobtoolkit.snail_plot_url	string	BlobToolKit viewer URL for the snail plot, included in the genome note text.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
blob_plot_url	blobtoolkit	analysis.GAP_analysis_data.blobtoolkit.blob_plot_url	string	BlobToolKit viewer URL for the blob plot, included in the genome note text.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
worfklow	blobtoolkit	analysis.GAP_analysis_data.blobtoolkit.worfklow	id				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
merqury	GAP_analysis_data	analysis.GAP_analysis_data.merqury	array	Merqury consensus quality and k-mer completeness values reported for each assembly role.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
worfklow	merqury	analysis.GAP_analysis_data.merqury.worfklow	id				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
qv	merqury	analysis.GAP_analysis_data.merqury.qv	number	Merqury consensus quality value.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
kmer_completeness_percent	merqury	analysis.GAP_analysis_data.merqury.kmer_completeness_percent	number	Merqury k-mer completeness percentage.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
kmer_length	merqury	analysis.GAP_analysis_data.merqury.kmer_length	integer	Length of the k-mer used for analysis.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
spectra_plot	merqury	analysis.GAP_analysis_data.merqury.spectra_plot	string	Optional publication figure or asset for the Merqury spectra plot.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
busco	GAP_analysis_data	analysis.GAP_analysis_data.busco	array	BUSCO completeness results.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
worfklow	busco	analysis.GAP_analysis_data.busco.worfklow	id				No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
lineage	busco	analysis.GAP_analysis_data.busco.lineage	string	BUSCO lineage dataset, for example lepidoptera_odb10.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
complete_percent	busco	analysis.GAP_analysis_data.busco.complete_percent	number	Percentage of complete BUSCOs.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
single_percent	busco	analysis.GAP_analysis_data.busco.single_percent	number	Percentage of single-copy complete BUSCOs.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
duplicated_percent	busco	analysis.GAP_analysis_data.busco.duplicated_percent	number	Percentage of duplicated complete BUSCOs.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
fragmented_percent	busco	analysis.GAP_analysis_data.busco.fragmented_percent	number	Percentage of fragmented BUSCOs.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
missing_percent	busco	analysis.GAP_analysis_data.busco.missing_percent	number	Percentage of missing BUSCOs.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
n_markers	busco	analysis.GAP_analysis_data.busco.n_markers	integer	Number of BUSCOs in the lineage dataset.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
summary	busco	analysis.GAP_analysis_data.busco.summary	string	Display string, for example C:99.0% [S:98.6%, D:0.4%], F:0.2%, M:0.8%, n:5286.			No	No	ToLQC, GAP/WorkflowsDB, meta-notes	
